"","state","week_start","tmean_week_C","tmean_week_F"
"4480","Illinois",2019-09-02,21.3714285714286,70.4685714285714
"4481","Illinois",2019-09-09,24.5142857142857,76.1257142857143
"4482","Illinois",2019-09-16,24.2714285714286,75.6885714285714
"4483","Illinois",2019-09-23,21.0571428571429,69.9028571428571
"4484","Illinois",2019-09-30,20.4142857142857,68.7457142857143
"4485","Illinois",2019-10-07,13.4571428571429,56.2228571428571
"4486","Illinois",2019-10-14,11.1142857142857,52.0057142857143
"4487","Illinois",2019-10-21,10.8285714285714,51.4914285714286
"4488","Illinois",2019-10-28,4.68571428571429,40.4342857142857
"4489","Illinois",2019-11-04,4.37142857142857,39.8685714285714
"4490","Illinois",2019-11-11,-2.34285714285714,27.7828571428571
"4491","Illinois",2019-11-18,4.68571428571429,40.4342857142857
"4492","Illinois",2019-11-25,5.34285714285714,41.6171428571429
"4493","Illinois",2019-12-02,3.12857142857143,37.6314285714286
"4494","Illinois",2019-12-09,-0.357142857142857,31.3571428571429
"4495","Illinois",2019-12-16,-0.928571428571428,30.3285714285714
"4496","Illinois",2019-12-23,8.31428571428571,46.9657142857143
"4497","Illinois",2019-12-30,2.44285714285714,36.3971428571429
"4498","Illinois",2020-01-06,2.9,37.22
"4499","Illinois",2020-01-13,-1.88571428571429,28.6057142857143
"4500","Illinois",2020-01-20,-2.21428571428571,28.0142857142857
"4501","Illinois",2020-01-27,1.27142857142857,34.2885714285714
"4502","Illinois",2020-02-03,1.02857142857143,33.8514285714286
"4503","Illinois",2020-02-10,-2.87142857142857,26.8314285714286
"4504","Illinois",2020-02-17,0.342857142857143,32.6171428571429
"4505","Illinois",2020-02-24,1.45714285714286,34.6228571428571
"4506","Illinois",2020-03-02,6.05714285714286,42.9028571428571
"4507","Illinois",2020-03-09,6.34285714285714,43.4171428571429
"4508","Illinois",2020-03-16,5.82857142857143,42.4914285714286
"4509","Illinois",2020-03-23,10.4428571428571,50.7971428571429
"4510","Illinois",2020-03-30,8.82857142857143,47.8914285714286
"4511","Illinois",2020-04-06,12.6428571428571,54.7571428571429
"4512","Illinois",2020-04-13,5.01428571428571,41.0257142857143
"4513","Illinois",2020-04-20,11.4714285714286,52.6485714285714
"4514","Illinois",2020-04-27,15.0714285714286,59.1285714285714
"4515","Illinois",2020-05-04,10.1857142857143,50.3342857142857
"4516","Illinois",2020-05-11,15.0142857142857,59.0257142857143
"4517","Illinois",2020-05-18,18.1,64.58
"4518","Illinois",2020-05-25,20.4714285714286,68.8485714285714
"4519","Illinois",2020-06-01,23.8142857142857,74.8657142857143
"4520","Illinois",2020-06-08,22.7,72.86
"4521","Illinois",2020-06-15,23.7428571428571,74.7371428571429
"4522","Illinois",2020-06-22,23.8,74.84
"4523","Illinois",2020-06-29,25.6285714285714,78.1314285714286
"4524","Illinois",2020-07-06,26.6142857142857,79.9057142857143
"4525","Illinois",2020-07-13,25.4571428571429,77.8228571428571
"4526","Illinois",2020-07-20,25.3,77.54
"4527","Illinois",2020-07-27,23.0285714285714,73.4514285714286
"4528","Illinois",2020-08-03,21.1428571428571,70.0571428571428
"4529","Illinois",2020-08-10,23.8714285714286,74.9685714285714
"4530","Illinois",2020-08-17,22.7285714285714,72.9114285714286
"4531","Illinois",2020-08-24,25.7285714285714,78.3114285714286
"4532","Illinois",2020-08-31,22.7428571428571,72.9371428571429
"4533","Illinois",2020-09-07,22.1714285714286,71.9085714285714
"4534","Illinois",2020-09-14,17.7714285714286,63.9885714285714
"4535","Illinois",2020-09-21,18.8,65.84
"4536","Illinois",2020-09-28,12.2428571428571,54.0371428571429
"4537","Illinois",2020-10-05,17.9285714285714,64.2714285714286
"4538","Illinois",2020-10-12,13.2857142857143,55.9142857142857
"4539","Illinois",2020-10-19,10.9285714285714,51.6714285714286
"4540","Illinois",2020-10-26,5.85714285714286,42.5428571428571
"4541","Illinois",2020-11-02,13.5428571428571,56.3771428571429
"4542","Illinois",2020-11-09,9.48571428571429,49.0742857142857
"4543","Illinois",2020-11-16,8.6,47.48
"4544","Illinois",2020-11-23,5.5,41.9
"4545","Illinois",2020-11-30,0.714285714285714,33.2857142857143
"4546","Illinois",2020-12-07,4.52857142857143,40.1514285714286
"4547","Illinois",2020-12-14,-0.342857142857143,31.3828571428571
"4548","Illinois",2020-12-21,0.557142857142857,33.0028571428571
"4549","Illinois",2020-12-28,-1.3,29.66
"4550","Illinois",2021-01-04,-0.842857142857143,30.4828571428571
"4551","Illinois",2021-01-11,0.714285714285714,33.2857142857143
"4552","Illinois",2021-01-18,-0.528571428571429,31.0485714285714
"4553","Illinois",2021-01-25,-1.6,29.12
"4554","Illinois",2021-02-01,-3.87142857142857,25.0314285714286
"4555","Illinois",2021-02-08,-11.9571428571429,10.4771428571429
"4556","Illinois",2021-02-15,-11.0285714285714,12.1485714285714
"4557","Illinois",2021-02-22,5.45714285714286,41.8228571428571
"4558","Illinois",2021-03-01,3.91428571428571,39.0457142857143
"4559","Illinois",2021-03-08,10.9428571428571,51.6971428571429
"4560","Illinois",2021-03-15,6.11428571428571,43.0057142857143
"4561","Illinois",2021-03-22,10.7857142857143,51.4142857142857
"4562","Illinois",2021-03-29,8.17142857142857,46.7085714285714
"4563","Illinois",2021-04-05,15.2142857142857,59.3857142857143
"4564","Illinois",2021-04-12,9.84285714285714,49.7171428571429
"4565","Illinois",2021-04-19,7.5,45.5
"4566","Illinois",2021-04-26,18.2,64.76
"4567","Illinois",2021-05-03,12.5285714285714,54.5514285714286
"4568","Illinois",2021-05-10,12.5142857142857,54.5257142857143
"4569","Illinois",2021-05-17,21.1285714285714,70.0314285714286
"4570","Illinois",2021-05-24,18.3285714285714,64.9914285714286
"4571","Illinois",2021-05-31,20.5,68.9
"4572","Illinois",2021-06-07,25.0714285714286,77.1285714285714
"4573","Illinois",2021-06-14,25.2285714285714,77.4114285714286
"4574","Illinois",2021-06-21,22.6142857142857,72.7057142857143
"4575","Illinois",2021-06-28,23.2142857142857,73.7857142857143
"4576","Illinois",2021-07-05,23.5,74.3
"4577","Illinois",2021-07-12,23.0857142857143,73.5542857142857
"4578","Illinois",2021-07-19,25.2571428571429,77.4628571428571
"4579","Illinois",2021-07-26,24.0142857142857,75.2257142857143
"4580","Illinois",2021-08-02,23.1571428571429,73.6828571428571
"4581","Illinois",2021-08-09,24.9714285714286,76.9485714285714
"4582","Illinois",2021-08-16,23.7714285714286,74.7885714285714
"4583","Illinois",2021-08-23,26.7571428571429,80.1628571428571
"4584","Illinois",2021-08-30,21.6142857142857,70.9057142857143
"4585","Illinois",2021-09-06,22.3571428571429,72.2428571428571
"4586","Illinois",2021-09-13,23.3571428571429,74.0428571428571
"4587","Illinois",2021-09-20,18.4,65.12
"4588","Illinois",2021-09-27,22.6285714285714,72.7314285714286
"4589","Illinois",2021-10-04,20.2857142857143,68.5142857142857
"4590","Illinois",2021-10-11,16.1,60.98
"4591","Illinois",2021-10-18,13.2142857142857,55.7857142857143
"4592","Illinois",2021-10-25,10.2857142857143,50.5142857142857
"4593","Illinois",2021-11-01,5.22857142857143,41.4114285714286
"4594","Illinois",2021-11-08,8.52857142857143,47.3514285714286
